Total Pembeli (Pesanan Dibuat),Produk (Pesanan Dibuat),Total Penjualan (Pesanan Dibuat) (IDR),Tingkat Konversi (Pesanan yang Dibuat),Produk (Pesanan Siap Dikirim),Cluster
1,2,6288.0,0.0167,2,0
2,2,10434.0,0.0392,2,0
2,2,15912.0,0.0455,2,0
1,2,86623.0,0.0064,2,0
2,2,11357.0,0.0266999999999999,1,0
2,2,50584.0,0.0556,2,0
2,2,5419.0,0.0645,2,0
2,2,93379.0,0.0217,2,0
2,2,89546.0,0.0667,2,0
2,2,51371.0,0.0364,2,0
1,2,388.0,0.0435,2,0
2,2,163725.0,0.0345,2,0
1,1,114741.0,0.0417,1,0
1,1,7104.0,0.0475999999999999,1,0
1,1,8904.0,0.0526,1,0
1,1,29875.0,0.0213,1,0
1,1,47568.0,0.0769,1,0
1,1,64901.0,0.0109,1,0
1,1,134999.0,0.0141,1,0
1,1,24166.0,1.0,1,2
1,1,16394.0,0.04,1,0
1,1,875.0,0.0159,1,0
1,1,63031.0,0.1,1,0
1,1,18805.0,0.0556,1,0
1,1,22051.0,0.0313,1,0
1,1,2716.0,0.0356999999999999,1,0
1,1,175.0,0.0385,1,0
1,1,70418.0,0.0172,1,0
1,1,9295.0,0.0128,1,0
1,1,70.0,0.0588,1,0
1,1,11419.0,0.0152,1,0
1,1,35594.0,0.0093,1,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
38,114,9048.0,0.0785,112,2
